name,cuisine,avg_meal_cost,city,rating
Pehle Chai,Tea,400,Gurgaon,4.3
Chattynadu,"South Indian,  Kerala",800,Gurgaon,4.6
Artusi Ristorante in Piazza Horizon,"Italian,  Seafood",3000,Gurgaon,4.6
World Trail,Fast Food,700,Noida,4.5
Cafe Amaretto,"Italian,  Desserts,  Bakery and Confectionary",2800,Gurgaon,4.4
My Tea Chapel,"Continental,  Coffee,  Tea,  Italian,  Desserts,  Pizza",1000,Gurgaon,4.5
Lost Lemons,"North Indian,  Chinese,  Continental",2500,Gurgaon,4.1
21 shots -  The MRP Bar,"Finger Food,  North Indian,  Italian",2000,Gurgaon,4.1
The Burger Club,"Burger,  Fast Food",600,Gurgaon,4.5
The Legacy of Sasuraal,"North Indian,  Chinese,  Seafood",2200,Gurgaon,4.1
Warehouse Cafe,"North Indian,  Fusion,  Italian,  Chinese",2500,Gurgaon,4.1
The Barbeque Company,"North Indian,  Barbecue,  Chinese",1800,Gurgaon,4.3
Ziuba,"Chinese,  Thai,  Japanese",1200,Gurgaon,4.2
The Beer Cafe,"Italian,  Finger Food,  North Indian",1200,Noida,3.7
The Whisky Bar & Brewpub,"Finger Food,  North Indian,  Italian,  Chinese,  Continental,  Fast Food",2500,Gurgaon,4.2
Fabcafe by Fabindia,"Health Food,  Modern Indian,  North Indian,  Continental",1200,Gurgaon,4.4
Chef's On Fire,"Fast Food,  Shakes",600,Noida,4.5
Tama Brewery & World Kitchen,"Finger Food,  North Indian,  Italian,  Oriental ",2200,Noida,4.2
Mystery Of Bar,"Italian,  Chinese,  North Indian,  Continental,  Asian",1500,Gurgaon,3.6
Ladera,"Multi-Cuisine,  Italian,  Continental,  Mediterranean,  Greek",4000,Gurgaon,4.6
Veranda,"North Indian,  Continental,  Asian",3000,Noida,4.1
Gung The Palace,"Korean,  Seafood",2500,Gurgaon,4.4
Berco's,"Chinese,  Thai",1300,Gurgaon,4.1
Sagar Ratna,"South Indian,  North Indian,  Chinese",900,Noida,3.8
Raise The Bar- Rooftop Lounge,"Italian,  Continental,  European",3300,Gurgaon,4.4
Spice It,"North Indian,  Chinese,  Fast Food",1500,Gurgaon,3.9
The Piano Man,"European,  Asian",1500,Gurgaon,3.9
Chaayos,"Street Food,  Tea,  Fast Food",500,Gurgaon,4.3
Cafe G,"Multi-Cuisine,  Italian,  Chinese,  Continental,  European,  Fast Food,  Indian Cuisine",4500,Gurgaon,4.2
Kathi Cartel,"Fast Food,  North Indian,  Lebanese",700,Gurgaon,2
Sandhouse Cafe,"Italian,  American",1000,Gurgaon,4.4
The Brew Bar,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",2200,Gurgaon,4.2
The Burger Club,"Burger,  Fast Food",600,Gurgaon,5
Daddy of Tastes,"North Indian,  Chinese,  Continental",1300,Gurgaon,3.1
RYU BAR,"Chinese,  Thai,  Asian,  Finger Food,  Desserts",2000,Gurgaon,4
Bottles and Barrels,"Asian,  Multi-Cuisine,  North Indian,  Italian",1800,Gurgaon,3.6
Mogli's Coffee,"Italian,  Continental,  American,  Fast Food,  Desserts",800,Gurgaon,5
Chaayos,"Street Food,  Tea,  Fast Food",500,Gurgaon,4.4
"Unlocked - Bar, Kitchen and Escape Room","Italian,  Continental,  Shakes",1900,Gurgaon,4.2
CAD (ctrl+alt+del) Tech Bar,"Modern Indian,  North Indian,  Italian,  Oriental ",2200,Gurgaon,4.2
Catalyst Gastrobar,"Multi-Cuisine,  North Indian,  Italian,  European,  Oriental ",1000,Noida,4.1
TNG Restaurant,"North Indian,  Chinese",1200,Ghaziabad,4.6
Jamie's Pizzeria By Jamie Oliver,"Italian,  Pizza",2000,Gurgaon,4.4
Taco Bell,"Mexican,  Tex Mex,  Tex Mex",500,Gurgaon,4.2
The Sky Patio,"North Indian,  Italian,  Chinese",1300,Noida,4.3
Pintxo - Tapas Bar,"Spanish,  Italian",2500,Gurgaon,4.2
Bizibean,"Fast Food,  Coffee,  Tea",500,Gurgaon,5
Sparsa Cafe,"Italian,  Fast Food",500,Gurgaon,5
Cafe Delhi Heights,"Modern Indian,  Italian,  Continental,  American",2000,Gurgaon,4.5
Krispy Kreme,"Desserts,  Doughnuts",400,Gurgaon,4.1
Brewocrat - Brewery Skybar & Kitchen,"Multi-Cuisine,  North Indian,  Continental,  Mediterranean,  Asian,  Oriental ,  Finger Food",2000,Gurgaon,4.5
Rule The Rolls,Fast Food,800,Gurgaon,4.5
Chaayos,"Street Food,  Tea,  Fast Food",500,Gurgaon,3.3
The Groove,"European,  Asian,  American",1700,Gurgaon,4.3
Barbeque 29,"North Indian,  Chinese,  Barbecue",1500,Noida,4.3
Bollywood Tadka,"North Indian,  Chinese,  Mughlai,  Fast Food",800,Gurgaon,5
Backbenchers HQ by Cafetieres,"Multi-Cuisine,  North Indian,  Italian,  Oriental ",1500,Noida,4.2
Pepper Pot - The Terrace Cafe,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Fast Food",1000,Gurgaon,4
Mughal-Fe by Crepe-Fe,"North Indian,  Mughlai",900,Gurgaon,5
La Vera Pizzeria,Pizza,800,Gurgaon,4.1
Barbeque Nation,"North Indian,  Barbecue,  Mughlai",1700,Noida,4.5
Heritage - The Fine Dine,"North Indian,  Chinese",1500,Gurgaon,4.3
Punjab Street,North Indian,900,Noida,4.5
Brew-Berry,"Fast Food,  Burger",600,Noida,4.7
Chapter Twelve,"North Indian,  Continental,  Asian,  Multi-Cuisine",2400,Noida,4.2
Stormborn,"Fast Food,  Pizza,  Italian",1600,Noida,4.3
Zosse,"North Indian,  Chinese,  Fast Food",2500,Noida,4.5
Fiery Grillss,"North Indian,  Chinese,  Continental,  Mughlai",1200,Noida,4.4
Mosaic,"Continental,  North Indian",3000,Noida,4.3
ABC Biryani Wala,Biryani,300,Noida,5
Cafe Parmesan,"Italian,  Pizza",1500,Noida,4.5
Oriental Fusion,"Oriental ,  Chinese,  Thai",1000,Gurgaon,4.6
Tap House Brewpub and Kitchen,"North Indian,  Italian,  Chinese",1900,Gurgaon,4
Ambarsari Chowk,"North Indian,  Mughlai",1500,Gurgaon,4.2
Fat Butterfly Bakery And Cafe,"Italian,  Desserts,  Fast Food",1000,Gurgaon,4.5
Oriental Fusion,"Oriental ,  Chinese,  Thai",1000,Gurgaon,4.3
Coastal Reef,"South Indian,  Andhra,  Kerala,  Seafood",1200,Gurgaon,4.3
Cafe Grub Up,"Fast Food,  Italian,  Chinese,  Thai,  Mexican,  American",600,Noida,4
Mr Ohashi,Asian,1200,Noida,5
Pop's Barbacoa,"North Indian,  Continental,  Chinese,  Mexican,  Oriental ",1500,Gurgaon,4.5
Hn'ny Pizzeria,"Pizza,  Fast Food",400,Delhi,3.3
Barbeque Nation,"North Indian,  Barbecue,  Mughlai",1700,Gurgaon,4.5
Green House - The Beer Garden,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  Mediterranean,  European,  Oriental ",2100,Gurgaon,4.5
Cafe Underworld,"Fast Food,  North Indian",1000,Noida,4.1
Chaayos,"Street Food,  Tea,  Fast Food",500,Gurgaon,4
Krua Thai,"Thai,  Asian",1800,Gurgaon,4.5
Broadway,"Multi-Cuisine,  North Indian,  Italian,  Continental,  American",3500,Noida,4.2
Urban Pind Restaurant,North Indian,500,Noida,3.9
Naivedyam,South Indian,500,Gurgaon,4.4
Hunger Cure,"Fast Food,  Chinese",500,Noida,3.5
The Master Kitchen,"Fast Food,  Chinese,  Shakes",700,Noida,5
Pizzaiolo,"Italian,  Pizza",800,Gurgaon,5
Dhaba Junction,"North Indian,  Chinese,  South Indian,  Fast Food",1000,Noida,4
Jacket Aloo,Fast Food,600,Gurgaon,4.4
Houz Cafe Bar,"World Cuisine,  Italian,  Mediterranean,  French,  Lebanese,  Indian Cuisine",2200,Gurgaon,5
Spicy Tadka,"North Indian,  Chinese,  Mughlai",800,Noida,4.5
The Brewhouse - Brewery,"Continental,  North Indian,  Finger Food",1500,Gurgaon,4.5
The Coffizza,"Italian,  Fast Food,  Coffee",600,Noida,3.8
California Burrito,Mexican,700,Gurgaon,4.6
Cafe Central,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",3500,Gurgaon,3.8
Chaayos,"Street Food,  Tea,  Fast Food",500,Gurgaon,4.8
Minnie's Kitchen,"North Indian,  Chinese,  Fast Food",400,Noida,3.8
Zaika 7,"North Indian,  Chinese",700,Noida,4.2
Hunger Cure,"Fast Food,  Chinese",500,Noida,2.7
Coffee Ville,"Coffee,  Health Food",400,Gurgaon,1
Stop My Starvation,"Desserts,  Fast Food,  Shakes,  Waffle",600,Gurgaon,5
Barbeque Nation,"North Indian,  Barbecue,  Mughlai",1700,Noida,4.4
Sagar Ratna,"South Indian,  North Indian,  Chinese",900,Noida,4.2
Legends Of India By Savoy Suites,"North Indian,  Biryani",1500,Noida,4.3
Food Frolic,"North Indian,  Chinese,  Continental,  Mediterranean",1600,Gurgaon,4.1
Kitchen District,"Multi-Cuisine,  North Indian,  Continental,  Japanese,  Asian",3000,Gurgaon,4.3
Dagrooz,"Multi-Cuisine,  North Indian,  Chinese",700,Gurgaon,4.4
Bikkgane Biryani,"Biryani,  North Indian",1100,Noida,3.7
Yummy Tummy Corner,North Indian,400,Gurgaon,4.5
Awesum Dimsum,Chinese,800,Gurgaon,3.7
Under The Neem,Continental,1500,Gurgaon,4.6
Grill Inn,Fast Food,500,Noida,1
AK's Bar,"Continental,  Asian,  North Indian",2200,Gurgaon,4.3
On Kourse All Day Dining,"Asian,  North Indian,  Japanese,  European",1800,Gurgaon,4.5
Silbuttah Story,"North Indian,  Oriental ,  Fast Food",1800,Noida,4.2
Singh Ching,"North Indian,  Chinese,  Mughlai",800,Delhi,4.3
Pikwik,"North Indian,  Chinese,  Mughlai",1000,Delhi,4.4
Pikwik,"North Indian,  Chinese,  Mughlai",1800,Delhi,4.3
Pop Tate's,"Chinese,  Italian,  Continental",2000,Mumbai,4.3
Global Fusion,"North Indian,  Chinese,  Sushi",2000,Mumbai,4.5
FOO,"Asian,  Chinese,  Japanese,  Sushi",1100,Mumbai,4.7
Kake Da Hotel,"North Indian,  Chinese,  Mughlai",900,Mumbai,5
PizzaExpress,"European,  Fast Food,  Italian",1400,Mumbai,4.5
Chili’s American Grill and Bar,"Mexican,  American,  Fast Food",2000,Mumbai,4.2
Powai Social,"North Indian,  Continental,  Asian,  Multi-Cuisine,  Chinese,  Fast Food",1600,Mumbai,4.2
AB's - Absolute Barbecues,"North Indian,  Barbecue",1200,Mumbai,4.4
Mad Over Donuts,"Desserts,  Doughnuts,  Waffle",450,Mumbai,4.6
Hitchki,"Modern Indian,  North Indian,  Fast Food",1500,Mumbai,4.5
Frozen Bottle,"Desserts,  Shakes,  Ice Cream",500,Mumbai,4.4
Hitchki,Modern Indian,1500,Mumbai,4.3
Mad Over Donuts,"Desserts,  Doughnuts,  Waffle",450,Mumbai,4.6
The Wine Table,"Finger Food,  Fast Food",1800,Mumbai,4.7
Elementaria Bakery Cafe,"Desserts,  Fast Food,  Coffee",800,Mumbai,5
Taco Bell,"Fast Food,  Mexican,  American",500,Mumbai,4
House of Mandarin,"Chinese,  Seafood,  Asian,  Sushi",2000,Mumbai,4.7
Chaayos - Meri Wali Chai,"Tea,  Street Food",500,Mumbai,4
Frozen Bottle,"Desserts,  Shakes,  Ice Cream",500,Mumbai,4.7
The Sassy Spoon,"Multi-Cuisine,  Italian,  Continental,  European,  Desserts",1800,Mumbai,4.3
Lord of the Drinks,"North Indian,  Italian,  Chinese,  Continental,  Finger Food",1500,Mumbai,4.2
Vikhroli Social,"North Indian,  Continental,  Finger Food,  American,  Asian",2000,Mumbai,4.4
Bayroute,"Lebanese,  Turkish,  Moroccan,  Greek",3000,Mumbai,4.5
Asian Wok,"Asian,  Chinese,  Thai,  Seafood",800,Mumbai,3.8
Shaolin,"North Indian,  Chinese,  Seafood",800,Mumbai,3.7
Tibbs Frankie,Fast Food,500,Mumbai,3.8
Spirit,"North Indian,  Chinese,  Seafood,  Mughlai",2000,Mumbai,3.9
Mini Punjab's Lake Side,"North Indian,  Mughlai,  Chinese,  Seafood",1700,Mumbai,4
Mia Cucina,"Italian,  Continental",2200,Mumbai,4.2
Flax,Health Food,900,Mumbai,4
HAS Juices and More,Juice,400,Mumbai,2.7
Kosho,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Thai,  Seafood,  Mughlai",1200,Mumbai,4.2
Fisherman's Cove - Taste on Palate,"North Indian,  Chinese,  Seafood,  Mangalorean",800,Mumbai,4.4
Flava,"North Indian,  Chinese,  Continental",1500,Mumbai,3.9
Pop Tate's,"Chinese,  Italian,  Continental",2000,Mumbai,4.3
Tibbs Frankie,Fast Food,200,Mumbai,3.3
Gurukripa,"North Indian,  Chinese,  Seafood,  Asian",1400,Mumbai,4.3
The Finch,"North Indian,  Finger Food,  Chinese",2500,Mumbai,4.3
Lake View Cafe,"North Indian,  Italian,  Continental",3000,Mumbai,4.2
Pokket Cafe,Fast Food,500,Mumbai,4.2
Chimichurri,"Chinese,  Asian",900,Mumbai,4.5
Pizza Caprina,"Pizza,  Italian",400,Mumbai,5
Saptami,"North Indian,  Continental,  South Indian",2500,Mumbai,4.4
Urban Tadka,"North Indian,  Mughlai",1600,Mumbai,4.4
Opa Bar,"Multi-Cuisine,  Italian,  Continental,  Mediterranean,  European,  Lebanese",3000,Mumbai,4.2
The Bigg Small Cafe + Bar,"Chinese,  Modern Indian,  Continental",1000,Mumbai,4.4
Peninsula - The Spice of India,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Seafood,  Mughlai",2000,Mumbai,3.9
Persian Darbar,"North Indian,  Chinese,  Mughlai,  Biryani",1500,Mumbai,4.3
Mahesh Lunch Home,"Multi-Cuisine,  Continental,  South Indian,  Seafood,  Coastal,  Indian Cuisine",1800,Mumbai,4.3
The Chocolate Room Bistro and Cafe,"Desserts,  Italian,  Chinese,  Mexican,  Multi-Cuisine,  Sizzlers,  Indian Cuisine",500,Mumbai,4.2
Opa Cafe,"Mediterranean,  European,  Lebanese",3000,Mumbai,3.4
Thambbi,"North Indian,  South Indian",800,Mumbai,1
5 Spice,"Chinese,  Thai,  Seafood",1000,Mumbai,4.2
The Hill Green,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican",1600,Mumbai,4.2
Roots Of India,"North Indian,  Oriental ,  Chinese,  Seafood",2500,Mumbai,4
Kakori House,"Mughlai,  Awadhi",1500,Mumbai,4
Bling by The Hill Green,"Multi-Cuisine,  North Indian,  Italian,  Mexican",1600,Mumbai,4
Mad Over Donuts,"Desserts,  Doughnuts,  Waffle",450,Mumbai,4.5
Nosh & Beyond,"Multi-Cuisine,  North Indian,  Continental,  European",1000,Mumbai,4.8
Tibbs Frankie,Fast Food,200,Mumbai,4.4
FoodPost,"North Indian,  Chinese",1000,Mumbai,4
1522 Bar & Kitchen,"North Indian,  Chinese,  Continental,  Finger Food",1500,Mumbai,4.3
Coffee Culture,"Fast Food,  Health Food,  Shakes,  North Indian,  Continental",1000,Mumbai,4
Fiona,"North Indian,  South Indian,  Malvani",1000,Mumbai,4.7
JW Cafe,"North Indian,  Asian,  Japanese,  Seafood",4500,Mumbai,4.7
All Stir Fry - Waterstones Hotel,"Chinese,  Asian,  Japanese",2500,Mumbai,4.4
Malhar Tribes,"Chinese,  Seafood,  Goan,  Biryani",2000,Mumbai,4.4
Taco Bell,"Fast Food,  Mexican,  American",500,Mumbai,4
Zytun - The Restaurant,"North Indian,  Chinese,  Oriental ",1200,Mumbai,4
Family Tree,"Chinese,  European,  North Indian",1000,Mumbai,4.2
White Barn - Waterstones Club,"North Indian,  Continental",1400,Mumbai,5
Keys Cafe - Keys Hotel Nestor,"Continental,  North Indian,  Coffee",1000,Mumbai,3.1
Roots Cafe,"Chinese,  Asian,  Continental",1200,Mumbai,4
The Stables,"Finger Food,  European,  British",1500,Mumbai,4.2
Rodeo Drive,"American,  Italian,  Mexican",1200,Mumbai,4.1
Citrus,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Japanese,  Asian,  Sushi",4000,Mumbai,4.3
Heroes,"North Indian,  Chinese,  Thai",2000,Mumbai,4.1
Food Rush,"North Indian,  Chinese",800,Mumbai,4.3
Le Cafe,"Italian,  Continental,  European",1200,Mumbai,4.4
Pickle And Pint by Destiny,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Oriental ,  Fast Food",2200,Mumbai,4.5
Apna Dhaba,"North Indian,  Chinese,  Seafood",1200,Mumbai,4
Navya,"Multi-Cuisine,  North Indian,  Continental,  Seafood,  Oriental ",1500,Mumbai,4.2
China Gate,"Chinese,  Seafood",1000,Mumbai,4.4
Banjara,"North Indian,  Chinese,  Continental",2000,Mumbai,4.3
Amritsari Kulcha Junction,"North Indian,  Street Food",500,Mumbai,4.4
Something's Fishy,"North Indian,  Chinese,  Seafood,  Malvani",2000,Mumbai,4.4
Via Bombay,"North Indian,  Maharashtrian,  Chinese,  Parsi",1400,Mumbai,4.3
Grand Central,"North Indian,  Chinese,  Seafood",1200,Mumbai,4.4
Rome Pizzeria,"Italian,  Pizza",400,Mumbai,5
MoMo Cafe,"North Indian,  Continental",3000,Mumbai,4.3
The Food Studio,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1400,Mumbai,4.3
Prasad Food Divine,"North Indian,  Chinese,  Continental",800,Mumbai,4.2
Gallery Cafe,"North Indian,  Fast Food,  Seafood",2500,Mumbai,4
Persian Darbar,"North Indian,  Chinese,  Mughlai,  Biryani",1500,Mumbai,4.3
Wowfillss,"Bakery and Confectionary,  Waffle,  Desserts,  Shakes",500,Mumbai,5
Beans & Creme,"Desserts,  Bakery and Confectionary",700,Mumbai,4.3
Crrave N Eat,"Fast Food,  Italian,  Continental",800,Mumbai,4.3
Qebab Quisine,"North Indian,  Mughlai",2800,Mumbai,4.1
Butterfly High,"Continental,  Finger Food,  Modern Indian",1800,Mumbai,4.4
Ganga,"North Indian,  Chinese,  Street Food",500,Mumbai,2.9
House of Asia,"Multi-Cuisine,  North Indian,  Chinese,  Oriental ",2500,Mumbai,4.2
Tibbs Frankie,Fast Food,200,Mumbai,4.7
Frozen Bottle,"Desserts,  Shakes,  Ice Cream",500,Mumbai,4.5
Thambbi,"North Indian,  South Indian,  Street Food",800,Mumbai,5
Reise - All Day Bar and Kitchen,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1200,Mumbai,4.1
Little Asia,"Asian,  Chinese,  Thai,  Burmese,  Malaysian",800,Mumbai,3.9
True Tramm Trunk,"Chinese,  Fast Food",2000,Mumbai,4.5
Angrezi Dhaba,"North Indian,  Chinese,  Asian,  Seafood,  Mughlai",1500,Mumbai,4.1
Bar Tales,"Italian,  Continental",1500,Mumbai,4.1
Masala Library by Jiggs Kalra,"North Indian,  South Indian",5000,Mumbai,4.7
China Bistro,"Multi-Cuisine,  Chinese,  Thai,  Japanese,  Seafood,  Asian,  Sushi",2000,Mumbai,4.4
Chaayos - Meri Wali Chai,Tea,500,Mumbai,4.2
Hitchki,Modern Indian,1500,Mumbai,4.5
The Float House,"North Indian,  Fast Food,  Italian,  Chinese",900,Mumbai,5
Sorriso Indian Kitchen & Bar,"North Indian,  Continental,  Chinese",1200,Mumbai,4.1
Sorriso Brasserie and Bar,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Mughlai,  Oriental ",1400,Mumbai,4.1
Mad Over Donuts,"Desserts,  Doughnuts,  Waffle",450,Mumbai,4.6
Mi Hi Koli,"Seafood,  Maharashtrian,  Malvani",1000,Mumbai,3.7
1441 Pizzeria,"Pizza,  Italian",1200,Mumbai,4.3
The Golden Wok,"Chinese,  Seafood",800,Mumbai,4.2
Smoke House Deli,"European,  Italian,  American,  Health Food",2000,Mumbai,4.4
PizzaExpress,"European,  Fast Food,  Italian",1400,Mumbai,4.5
Tossin Pizza,"Fast Food,  Pizza,  Italian,  Seafood",1000,Mumbai,4.1
Prithvi Cafe,"Coffee,  Tea,  Fast Food",500,Mumbai,4.2
Yauatcha,"Chinese,  Seafood,  Asian",3000,Mumbai,4.6
The Orange Mint,"North Indian,  Fast Food,  Italian",1500,Mumbai,4.5
Taco Cheena,"Oriental ,  Chinese",800,Mumbai,4.4
India Bistro,"North Indian,  Mughlai,  Biryani",1500,Mumbai,4.4
The Earth Plate,"Multi-Cuisine,  North Indian,  Italian,  Mexican,  Mediterranean,  French",3500,Mumbai,4.3
South of Vindhyas,"South Indian,  Seafood,  Andhra,  Chettinad,  Mangalorean",3000,Mumbai,4.2
Manuhaar – The Taste of Tradition,"Gujarati,  Rajasthani",3000,Mumbai,4.6
Amantran Fine Dine,"North Indian,  Chinese,  Continental",800,Mumbai,4.3
The Indian Toss,"Chinese,  North Indian,  Italian",1200,Mumbai,4
The Art House,"North Indian,  Asian,  Continental",1500,Mumbai,3.9
The Pancake Story,"Desserts,  Fast Food",500,Mumbai,5
King Chilli,"Chinese,  Thai,  Asian",800,Mumbai,4.2
1 By Two,"North Indian,  Chinese,  Fast Food",900,Mumbai,1.9
Family Tree,"Chinese,  European,  North Indian",1400,Mumbai,4.3
Tunak Tunak Tunn,North Indian,1100,Mumbai,4.3
Capital Social,"North Indian,  Continental,  Finger Food,  American,  Asian",2000,Mumbai,4.3
La Flame,"North Indian,  Chinese,  Lebanese",1200,Mumbai,4.6
Aquafire,"North Indian,  Italian,  Chinese,  Continental",1500,Mumbai,4
1441 Pizzeria,"Pizza,  Italian",1200,Mumbai,4.4
CinCin,"Italian,  Pizza",2800,Mumbai,4.4
Tibbs Frankie,Fast Food,200,Mumbai,4
Mad Over Donuts,"Desserts,  Doughnuts,  Waffle",450,Mumbai,4.4
SodaBottleOpenerWala,"Parsi,  Iranian,  North Indian,  Street Food",1600,Mumbai,4.3
Local Stop,"North Indian,  Chinese",1000,Mumbai,3.4
Punjab Grill,"North Indian,  Mughlai",3000,Mumbai,4.3
Persia Darbar,"North Indian,  Chinese,  Arabian",1000,Mumbai,4.4
Mad Over Donuts,"Desserts,  Doughnuts,  Waffle",450,Mumbai,4.1
Nara,"Thai,  Asian,  Seafood",2500,Mumbai,4.5
Oliva,"Pizza,  Italian,  Continental",700,Mumbai,4.3
Celini,Italian,5000,Mumbai,4.3
Hemant Oberoi Restaurant,"North Indian,  European,  Asian",2500,Mumbai,4.2
Anant Palace,"North Indian,  Chinese",1000,Mumbai,5
Pop Tate's,"Chinese,  Italian,  Continental",2000,Mumbai,4.4
B MAD - The Restaurant,"Multi-Cuisine,  North Indian,  Italian,  Mexican,  Lebanese",1200,Mumbai,4.3
Tibbs Frankie,Fast Food,200,Mumbai,4.1
Atithi Family Restaurant,"North Indian,  Chinese,  Seafood,  Mughlai",1800,Mumbai,4.3
Mad Over Donuts,"Desserts,  Doughnuts,  Waffle",450,Mumbai,4.2
The Union Bar & Eating House,"Multi-Cuisine,  North Indian,  Italian,  Continental",2000,Mumbai,4.6
Blisss,Bakery and Confectionary,300,Mumbai,4.8
Shree Laxmi Sagar,"North Indian,  Chinese,  South Indian,  Fast Food",500,Mumbai,3.5
Sauces and Spices Restaurant & Bar,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Biryani",800,Mumbai,4
Jaffer Bhai's Delhi Darbar,"North Indian,  Chinese,  Mughlai,  Seafood",1500,Mumbai,4
V Kitchen Restobar,"North Indian,  Chinese,  Seafood",600,Mumbai,4.2
Fleur,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",1200,Mumbai,4.3
The Food Studio,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1400,Mumbai,4.2
Pa Pa Ya,"Japanese,  Asian,  Oriental ",2800,Mumbai,4.5
The Caravan Menu,"North Indian,  Chinese,  Fast Food",1600,Mumbai,4.3
Zenmai,"Chinese,  Japanese,  Asian",2500,Mumbai,4.4
The Bake Room,"Desserts,  Bakery and Confectionary,  Italian,  Continental,  Mexican,  Fast Food",900,Mumbai,4
Urban Tadka,"North Indian,  Mughlai",1600,Mumbai,4.2
Genuine Broaster Chicken,"Finger Food,  Continental,  American",1000,Mumbai,4.3
Aromas Cafe,"Italian,  Fast Food,  Desserts,  Coffee,  Tea",1000,Mumbai,4.1
Spotlight Skydeck,"North Indian,  Chinese,  Fast Food",2200,Mumbai,4.3
Garden Court Restaurant,"North Indian,  Chinese,  Seafood,  Mughlai",1900,Mumbai,4.3
Seasonal Tastes,"North Indian,  Continental,  Asian",4000,Mumbai,4.3
House Of Lords,"Italian,  Continental,  Asian",2300,Mumbai,4
Coriander Kitchen And Bar,"Chinese,  Oriental ,  North Indian",1100,Mumbai,3
Blend N Brew,"North Indian,  Italian,  Chinese",1200,Mumbai,3.9
The Food Master,Fast Food,500,Mumbai,5
Rogan Tadka ​,"Multi-Cuisine,  North Indian,  Chinese,  Mughlai,  Fast Food",700,Mumbai,4.3
The Homemade Cafe & Bar,"Continental,  Italian,  Fast Food",1200,Mumbai,4.5
Archana Veg Restaurant,"North Indian,  Chinese,  South Indian",700,Mumbai,4.1
Blisss,Bakery and Confectionary,300,Mumbai,5
PizzaExpress,"European,  Fast Food,  Italian",1400,Mumbai,4.4
Pop Tate's,"Chinese,  Italian,  Continental",2000,Mumbai,4.3
Mainland China,"Chinese,  Japanese,  Seafood",1800,Mumbai,4.5
Coffee By Di Bella,"Fast Food,  Coffee,  Tea,  Desserts,  Waffle",700,Mumbai,4.4
TIB - The Ice-cream Bakery,Ice Cream,300,Mumbai,4.7
Global Fusion,"North Indian,  Chinese,  Sushi",2000,Mumbai,4.5
Elementaria Bakery Cafe,"Desserts,  Fast Food",800,Mumbai,3.6
Cafe Contigo,"Continental,  Asian,  Italian",900,Mumbai,4.4
Pop Tate's,"Chinese,  Italian,  Continental",2000,Mumbai,4.3
Mainland China,"Chinese,  Seafood",1800,Mumbai,4.4
Victoria,"Chinese,  Thai",800,Mumbai,3.8
Nav Chaitanya,"Seafood,  Maharashtrian",900,Mumbai,4.3
Tibbs Frankie,Fast Food,200,Mumbai,3.7
Satu Shree Veg Restaurant & Fast Food,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  South Indian,  Street Food,  Desserts",1000,Mumbai,4.2
Pop Tate's,"Chinese,  Italian,  Continental",2000,Mumbai,4.6
70 Beans,"Continental,  North Indian,  Italian,  Coffee,  Burger",1000,Mumbai,4.7
Facing East,"Chinese,  Thai,  Seafood",1800,Mumbai,4.4
Tanatan,"Modern Indian,  North Indian",1000,Mumbai,4.5
Angrezi Dhaba,"North Indian,  Chinese,  Asian,  Seafood,  Mughlai",1500,Mumbai,4
Nisarga - South Coast Hotel,"North Indian,  Chinese,  Seafood",900,Mumbai,4.4
Something's Fishy,"North Indian,  Chinese,  Seafood,  Malvani",2000,Mumbai,4.5
Qilaa de Vashi,"North Indian,  Italian,  Oriental ",1200,Mumbai,3.7
Young Chilli,"Multi-Cuisine,  Oriental ,  North Indian,  Continental,  Asian",1000,Mumbai,3.9
Peninsula Next Pure Veg,"North Indian,  Chinese,  Mexican",1200,Mumbai,4.3
Surbhi Malvani Kitchen and Bar,"North Indian,  Chinese,  Malvani",1100,Mumbai,4.3
Pachinco,"Desserts,  Health Food,  Coffee,  Tea",500,Mumbai,4.7
Roti Republiic,"Multi-Cuisine,  North Indian,  Maharashtrian,  Gujarati,  Bengali,  Health Food,  Assamese",800,Mumbai,4.6
The Food Foundry,"North Indian,  Chinese,  Seafood",1300,Mumbai,4.1
Lord Forklore,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",1000,Mumbai,4.4
Peninsula,"Multi-Cuisine,  North Indian,  Chinese,  Thai,  Mexican",1500,Mumbai,4.3
Mulk,"North Indian,  Mughlai",2000,Mumbai,4.6
